Тип мероприятия,Формат мероприятия,Место проведения,Количество участников,Периодичность
Уборка территории,Волонтерская деятельность,Зеленоград,344,Раз в год
Уход за парком,Волонтерская деятельность,Мытищи,387,Еженедельно
Субботник,Волонтерская деятельность,Мытищи,11,Раз в год
Уход за парком,Волонтерская деятельность,Крылатское,383,Еженедельно
Уход за парком,Индивидуальное,Лосиный Остров,72,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,128,Раз в год
Эко-лекция,Волонтерская деятельность,Мытищи,458,Еженедельно
Субботник,Индивидуальное,Воробьевы горы,470,Еженедельно
Субботник,Волонтерская деятельность,Зеленоград,131,Раз в год
Эко-лекция,Групповое,Зеленоград,137,Еженедельно
Уборка территории,Волонтерская деятельность,Измайловский парк,197,Раз в год
Уборка территории,Групповое,Крылатское,206,Еженедельно
Уборка территории,Волонтерская деятельность,Крылатское,329,Раз в месяц
Эко-лекция,Индивидуальное,Воробьевы горы,313,Раз в месяц
Субботник,Волонтерская деятельность,Битцевский лес,40,Раз в год
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,199,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,277,Раз в год
Эко-лекция,Индивидуальное,Парк Горького,338,Еженедельно
Эко-лекция,Групповое,Парк Горького,432,Раз в месяц
Насаждение деревьев,Групповое,Парк Горького,445,Раз в год
Эко-лекция,Волонтерская деятельность,Зеленоград,135,Раз в год
Уход за парком,Групповое,Зеленоград,219,Раз в год
Субботник,Волонтерская деятельность,Битцевский лес,264,Раз в месяц
Субботник,Групповое,Лосиный Остров,362,Еженедельно
Уборка территории,Групповое,Сокольники,455,Раз в год
Субботник,Индивидуальное,Парк Горького,245,Раз в год
Субботник,Групповое,Мытищи,375,Еженедельно
Уход за парком,Индивидуальное,Измайловский парк,87,Еженедельно
Эко-лекция,Индивидуальное,Химки,497,Еженедельно
Субботник,Групповое,Лосиный Остров,348,Раз в год
Эко-лекция,Волонтерская деятельность,Лосиный Остров,316,Еженедельно
Насаждение деревьев,Групповое,Парк Горького,286,Раз в месяц
Эко-лекция,Волонтерская деятельность,Битцевский лес,276,Раз в год
Уход за парком,Групповое,Парк Горького,47,Раз в месяц
Насаждение деревьев,Групповое,Сокольники,402,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,310,Еженедельно
Эко-лекция,Индивидуальное,Люблино,389,Раз в месяц
Эко-лекция,Волонтерская деятельность,Крылатское,171,Еженедельно
Эко-лекция,Индивидуальное,Измайловский парк,293,Раз в год
Уход за парком,Индивидуальное,Измайловский парк,145,Раз в год
Эко-лекция,Групповое,Битцевский лес,17,Раз в год
Насаждение деревьев,Волонтерская деятельность,Подольск,409,Раз в месяц
Уборка территории,Групповое,Люблино,330,Раз в месяц
Уборка территории,Групповое,Мытищи,415,Раз в год
Уборка территории,Индивидуальное,Химки,110,Раз в год
Насаждение деревьев,Индивидуальное,Химки,324,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,203,Раз в месяц
Субботник,Индивидуальное,Парк Горького,311,Раз в месяц
Насаждение деревьев,Индивидуальное,Воробьевы горы,24,Раз в месяц
Насаждение деревьев,Групповое,Лосиный Остров,487,Еженедельно
Уборка территории,Волонтерская деятельность,Крылатское,124,Еженедельно
Уход за парком,Групповое,Сокольники,20,Еженедельно
Уборка территории,Волонтерская деятельность,Мытищи,79,Раз в месяц
Уход за парком,Групповое,Сокольники,500,Раз в год
Насаждение деревьев,Волонтерская деятельность,Зеленоград,259,Еженедельно
Субботник,Групповое,Лосиный Остров,372,Раз в год
Насаждение деревьев,Индивидуальное,Подольск,226,Раз в год
Уход за парком,Групповое,Крылатское,204,Еженедельно
Уборка территории,Волонтерская деятельность,Мытищи,352,Раз в год
Уборка территории,Индивидуальное,Сокольники,388,Раз в месяц
Уборка территории,Групповое,Подольск,75,Еженедельно
Субботник,Волонтерская деятельность,Сокольники,131,Раз в год
Субботник,Индивидуальное,Воробьевы горы,490,Еженедельно
Уборка территории,Индивидуальное,Мытищи,58,Раз в год
Субботник,Индивидуальное,Химки,392,Раз в месяц
Эко-лекция,Волонтерская деятельность,Лосиный Остров,241,Еженедельно
Уход за парком,Групповое,Лосиный Остров,455,Раз в месяц
Эко-лекция,Групповое,Крылатское,75,Еженедельно
Уборка территории,Волонтерская деятельность,Мытищи,459,Раз в год
Субботник,Групповое,Сокольники,389,Раз в год
Субботник,Волонтерская деятельность,Люблино,150,Еженедельно
Субботник,Волонтерская деятельность,Лосиный Остров,264,Раз в месяц
Субботник,Индивидуальное,Люблино,409,Раз в год
Уход за парком,Волонтерская деятельность,Крылатское,54,Раз в год
Эко-лекция,Индивидуальное,Мытищи,311,Раз в месяц
Эко-лекция,Волонтерская деятельность,Битцевский лес,335,Раз в месяц
Субботник,Групповое,Зеленоград,261,Раз в год
Уход за парком,Индивидуальное,Люблино,276,Раз в год
Насаждение деревьев,Групповое,Зеленоград,376,Раз в месяц
Уход за парком,Волонтерская деятельность,Лосиный Остров,86,Еженедельно
Эко-лекция,Волонтерская деятельность,Подольск,67,Раз в месяц
Субботник,Групповое,Битцевский лес,246,Раз в год
Эко-лекция,Волонтерская деятельность,Мытищи,480,Еженедельно
Насаждение деревьев,Индивидуальное,Крылатское,396,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Подольск,36,Еженедельно
Уход за парком,Индивидуальное,Парк Горького,482,Еженедельно
Уборка территории,Групповое,Лосиный Остров,471,Раз в месяц
Уход за парком,Индивидуальное,Парк Горького,127,Еженедельно
Субботник,Групповое,Химки,240,Раз в год
Насаждение деревьев,Групповое,Сокольники,137,Еженедельно
Насаждение деревьев,Групповое,Люблино,56,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,254,Раз в год
Уборка территории,Индивидуальное,Воробьевы горы,93,Еженедельно
Уход за парком,Волонтерская деятельность,Воробьевы горы,36,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Люблино,235,Раз в год
Уборка территории,Волонтерская деятельность,Сокольники,63,Раз в месяц
Субботник,Волонтерская деятельность,Воробьевы горы,434,Раз в месяц
Эко-лекция,Индивидуальное,Лосиный Остров,459,Раз в год
Уборка территории,Волонтерская деятельность,Подольск,364,Раз в год
Субботник,Волонтерская деятельность,Крылатское,320,Еженедельно
Эко-лекция,Волонтерская деятельность,Химки,350,Еженедельно
Субботник,Групповое,Мытищи,78,Раз в месяц
Уход за парком,Групповое,Лосиный Остров,298,Раз в месяц
Насаждение деревьев,Групповое,Крылатское,68,Раз в год
Уход за парком,Волонтерская деятельность,Воробьевы горы,464,Раз в месяц
Эко-лекция,Волонтерская деятельность,Мытищи,150,Еженедельно
Уход за парком,Индивидуальное,Лосиный Остров,374,Еженедельно
Насаждение деревьев,Групповое,Лосиный Остров,220,Раз в месяц
Эко-лекция,Индивидуальное,Сокольники,420,Еженедельно
Эко-лекция,Волонтерская деятельность,Мытищи,390,Еженедельно
Уход за парком,Индивидуальное,Подольск,163,Раз в год
Эко-лекция,Индивидуальное,Люблино,66,Еженедельно
Уборка территории,Индивидуальное,Подольск,5,Раз в год
Эко-лекция,Индивидуальное,Крылатское,469,Еженедельно
Субботник,Волонтерская деятельность,Парк Горького,434,Раз в месяц
Уход за парком,Волонтерская деятельность,Парк Горького,323,Раз в месяц
Уборка территории,Волонтерская деятельность,Подольск,290,Еженедельно
Уборка территории,Волонтерская деятельность,Измайловский парк,330,Раз в год
Насаждение деревьев,Индивидуальное,Парк Горького,276,Раз в год
Эко-лекция,Волонтерская деятельность,Лосиный Остров,491,Раз в год
Насаждение деревьев,Групповое,Зеленоград,467,Раз в месяц
Уборка территории,Волонтерская деятельность,Зеленоград,389,Еженедельно
Субботник,Групповое,Химки,389,Раз в год
Уборка территории,Групповое,Зеленоград,46,Раз в месяц
Насаждение деревьев,Групповое,Лосиный Остров,28,Раз в месяц
Насаждение деревьев,Групповое,Химки,224,Раз в год
Субботник,Индивидуальное,Измайловский парк,424,Еженедельно
Субботник,Индивидуальное,Парк Горького,434,Еженедельно
Эко-лекция,Индивидуальное,Подольск,439,Еженедельно
Насаждение деревьев,Групповое,Лосиный Остров,117,Раз в месяц
Субботник,Групповое,Крылатское,403,Раз в год
Уход за парком,Индивидуальное,Битцевский лес,296,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Мытищи,132,Раз в месяц
Насаждение деревьев,Индивидуальное,Измайловский парк,184,Еженедельно
Уход за парком,Групповое,Сокольники,413,Раз в год
Уборка территории,Волонтерская деятельность,Крылатское,174,Раз в год
Уход за парком,Индивидуальное,Сокольники,488,Раз в месяц
Насаждение деревьев,Групповое,Битцевский лес,378,Раз в год
